IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT
6100306,SUPPLY IMPLANT,Supply/Implant,"$1,177.60 "
6100310,SUPPLY IMPLANT,Supply/Implant,"$14,080.00 "
6100315,SUPPLY IMPLANT,Supply/Implant,"$17,280.00 "
6100316,SUPPLY IMPLANT,Supply/Implant,"$1,484.80 "
6100317,SUPPLY IMPLANT,Supply/Implant,"$6,284.80 "
6100318,SUPPLY IMPLANT,Supply/Implant,"$1,421.44 "
6100319,SUPPLY IMPLANT,Supply/Implant,"$2,918.23 "
6100322,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$26,039.81 "
6100323,SUPPLY IMPLANT,Supply/Implant,"$9,932.80 "
6100324,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$39,590.40 "
6100325,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$23,590.40 "
6100328,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$44,364.80 "
6100330,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,576.96 "
6100331,POST CHMBR INTRAOCULAR LENS,Supply/Implant,"$2,176.00 "
6100333,"LEAD, NEUROSTIMULATOR",Supply/Implant,"$92,032.00 "
6100334,"GASTRO/JEJUNO TUBE, STD",Supply/Implant,"$1,780.74 "
6100340,SUPPLY IMPLANT,Supply/Implant,"$1,550.34 "
6100342,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,141.44 "
6100343,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$10,880.00 "
6100345,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,664.00 "
6100346,SUPPLY IMPLANT,Supply/Implant,"$2,112.00 "
6100347,"INTRO/SHEATH, NON-LASER",Supply/Implant,"$1,586.18 "
6100366,IMPLANT BREAST SILICONE/EQ,Supply/Implant,"$18,880.00 "
6100371,IMPLANT BREAST SILICONE/EQ,Supply/Implant,"$18,880.00 "
6100372,SUPPLY IMPLANT,Supply/Implant,"$1,576.96 "
6100373,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,576.96 "
6100374,STERILE SUPPLY,Supply/Implant,$625.79 
6100381,SUPPLY IMPLANT,Supply/Implant,"$3,200.00 "
6100386,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$512.00 
6100388,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$259.84 
6100389,SUPPLY IMPLANT,Supply/Implant,"$2,467.84 "
6100394,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,078.72 "
6100396,SUPPLY IMPLANT,Supply/Implant,$320.00 
6100400,POST CHMBR INTRAOCULAR LENS,Supply/Implant,"$1,920.00 "
6100402,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,840.00 "
6100403,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$44,953.60 "
6100409,SUPPLY IMPLANT,Supply/Implant,"$282,800.00 "
6100412,SUPPLY IMPLANT,Supply/Implant,"$2,137.60 "
6100414,POST CHMBR INTRAOCULAR LENS,Supply/Implant,"$2,176.00 "
6100417,"PROSTHESIS, BREAST, IMP",Supply/Implant,"$10,624.00 "
6100418,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,336.00 "
6100419,SUPPLY IMPLANT,Supply/Implant,"$2,645.38 "
6100420,SUPPLY IMPLANT,Supply/Implant,$184.58 
6100421,SUPPLY IMPLANT,Supply/Implant,$362.88 
6100428,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$1,280.00 "
6100430,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$13,606.40 "
6100433,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,000.32 "
6100434,GENERAL SUPPLY,Supply/Implant,$313.60 
6100447,ASTIGMATISM-CORRECT FUNCTION,Supply/Implant,"$6,336.00 "
6100448,"PMKR, SINGLE, RATE-RESP",Supply/Implant,"$124,800.00 "
6100449,GUIDE WIRE,Supply/Implant,$129.02 
6100466,SUPPLY IMPLANT,Supply/Implant,"$1,305.60 "
6100467,STERILE SUPPLY,Supply/Implant,$234.88 
6100477,SUPPLY IMPLANT,Supply/Implant,$248.06 
6100478,SUPPLY IMPLANT,Supply/Implant,$442.38 
6100479,SUPPLY IMPLANT,Supply/Implant,$248.06 
6100480,"CATHETER, GUIDING",Supply/Implant,$645.63 
6100482,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,$184.58 
6100483,SUPPLY IMPLANT,Supply/Implant,$951.04 
6100484,SUPPLY IMPLANT,Supply/Implant,$951.04 
6100485,"CATHETER, GUIDING",Supply/Implant,"$21,120.00 "
6100486,"CATHETER, GUIDING",Supply/Implant,"$12,608.00 "
6100487,"CATHETER, GUIDING",Supply/Implant,"$12,608.00 "
6100495,"CATH,HEMODIALYSIS,SHORT-TERM",Supply/Implant,"$2,193.41 "
6100497,SUPPLY IMPLANT,Supply/Implant,"$46,771.20 "
6100502,SUPPLY IMPLANT,Supply/Implant,"$1,885.31 "
6100504,SUPPLY IMPLANT,Supply/Implant,"$1,228.80 "
6100509,SUPPLY IMPLANT,Supply/Implant,"$1,532.16 "
6100510,GUIDE WIRE,Supply/Implant,$229.89 
6100514,"CATHETER, GUIDING",Supply/Implant,"$1,600.00 "
6100515,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$5,059.20 "
6100516,"CATH, INF, PER/CENT/MIDLINE",Supply/Implant,"$13,760.00 "
6100517,SUPPLY IMPLANT,Supply/Implant,$496.00 
6100518,SUPPLY IMPLANT,Supply/Implant,$496.00 
6100521,SUPPLY IMPLANT,Supply/Implant,$294.66 
6100523,GUIDE WIRE,Supply/Implant,$129.02 
6100525,GUIDE WIRE,Supply/Implant,$129.02 
6100526,"INTRO/SHEATH,STRBLE,NON-PEEL",Supply/Implant,"$1,056.00 "
6100531,"CATHETER, GUIDING",Supply/Implant,$645.63 
6100537,"INTRO/SHEATH, NON-LASER",Supply/Implant,$293.12 
6100546,"GRAFT, VASCULAR",Supply/Implant,"$19,827.20 "
6100552,GENERAL SUPPLY,Supply/Implant,$230.40 
6100553,GENERAL SUPPLY,Supply/Implant,$230.40 
6100561,SUPPLY IMPLANT,Supply/Implant,$419.33 
6100562,SUPPLY IMPLANT,Supply/Implant,$419.33 
6100563,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$6,387.20 "
6100572,GENERAL SUPPLY,Supply/Implant,"$2,312.32 "
6100573,SUPPLY IMPLANT,Supply/Implant,"$1,530.11 "
6100576,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,400.32 "
6100577,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$26,972.16 "
6100582,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,164.80 "
6100586,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$636.16 
6100587,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,480.00 "
6100588,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$21,504.00 "
6100593,"PORT, INDWELLING, IMP",Supply/Implant,"$4,800.00 "
6100595,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6100596,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6100601,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$241.92 
6100604,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$277.76 
6100608,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,962.24 "
6100609,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6100613,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6100614,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6100616,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$241.92 
6100619,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6100622,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6100623,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6100628,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,523.20 "
6100630,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,666.56 "
6100631,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6100632,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,764.80 "
6100633,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,016.00 "
6100634,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6100635,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,666.56 "
6100636,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,523.20 "
6100637,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,734.08 "
6100638,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,585.92 "
6100639,"CATH, DRAINAGE",Supply/Implant,"$8,817.41 "
6100640,"CATHETER, GUIDING",Supply/Implant,"$1,337.60 "
6100641,"INTRO/SHEATH, NON-LASER",Supply/Implant,"$3,200.00 "
6100642,"INTRO/SHEATH, NON-LASER",Supply/Implant,"$5,056.00 "
6100643,"CATHETER, GUIDING",Supply/Implant,$385.92 
6100652,"STENT, NON-COR, TEM W/DEL SY",Supply/Implant,"$1,792.00 "
6100658,"STENT, NON-COA/NON-COV W/DEL",Supply/Implant,"$18,923.52 "
6100668,STERILE SUPPLY,Supply/Implant,$131.07 
6100689,STERILE SUPPLY,Supply/Implant,$639.10 
6100696,SUPPLY IMPLANT,Supply/Implant,"$12,800.00 "
6100701,SUPPLY IMPLANT,Supply/Implant,$691.20 
6100710,SUPPLY IMPLANT,Supply/Implant,"$2,087.68 "
6100711,SUPPLY IMPLANT,Supply/Implant,"$3,834.88 "
6100712,SUPPLY IMPLANT,Supply/Implant,"$2,805.76 "
6100777,INTERSPINOUS IMPLANT,Supply/Implant,"$16,256.00 "
6100778,INTERSPINOUS IMPLANT,Supply/Implant,"$16,256.00 "
6100779,INTERSPINOUS IMPLANT,Supply/Implant,"$16,256.00 "
6100800,INTERSPINOUS IMPLANT,Supply/Implant,"$16,256.00 "
6100801,INTERSPINOUS IMPLANT,Supply/Implant,"$16,256.00 "
6100814,INTERSPINOUS IMPLANT,Supply/Implant,"$7,616.00 "
6100815,INTERSPINOUS IMPLANT,Supply/Implant,"$16,256.00 "
6100816,INTERSPINOUS IMPLANT,Supply/Implant,"$16,256.00 "
6100819,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$4,480.00 "
6100820,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$2,368.00 "
6100821,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$2,368.00 "
6100824,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$2,496.00 "
6100836,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100839,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100840,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100844,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100845,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100847,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100848,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100849,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100850,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100852,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100853,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100856,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100858,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100859,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100860,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100861,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100862,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100878,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100902,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100916,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100917,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6100969,SUPPLY IMPLANT,Supply/Implant,"$6,220.80 "
6100992,"CATHETER, GUIDING",Supply/Implant,$645.63 
6101028,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$1,216.00 "
6101035,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$5,760.00 "
6101036,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$5,760.00 "
6101038,SUPPLY IMPLANT,Supply/Implant,"$3,691.52 "
6101065,GUIDE WIRE,Supply/Implant,"$1,276.80 "
6101068,GENERAL SUPPLY,Supply/Implant,$490.62 
6101108,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$7,052.80 "
6101110,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,118.78 "
6101111,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$26,972.16 "
6101121,"STENT, NON-COA/NON-COV W/DEL",Supply/Implant,"$10,240.00 "
6101131,"STENT, NON-COA/NON-COV W/DEL",Supply/Implant,"$10,240.00 "
6101134,"INTRO/SHEATH, NON-LASER",Supply/Implant,$640.00 
6101204,POST CHMBR INTRAOCULAR LENS,Supply/Implant,"$2,432.00 "
6101207,POST CHMBR INTRAOCULAR LENS,Supply/Implant,"$1,916.80 "
6101217,POST CHMBR INTRAOCULAR LENS,Supply/Implant,"$2,227.20 "
6101296,STERILE SUPPLY,Supply/Implant,"$9,984.00 "
6101305,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$19,008.00 "
6101306,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$26,972.16 "
6101307,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$26,972.16 "
6101308,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$26,972.16 "
6101309,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$26,972.16 "
6101311,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$23,777.28 "
6101312,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,280.00 "
6101316,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,542.72 "
6101330,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,478.40 "
6101343,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,280.00 "
6101344,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$10,778.88 "
6101345,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$11,970.56 "
6101352,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$19,494.40 "
6101356,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$13,811.20 "
6101357,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$13,811.20 "
6101358,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$13,811.20 "
6101364,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$14,848.00 "
6101367,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$14,848.00 "
6101391,SUPPLY IMPLANT,Supply/Implant,"$3,801.60 "
6101401,SUPPLY IMPLANT,Supply/Implant,"$3,801.60 "
6101453,SUPPLY IMPLANT,Supply/Implant,"$3,801.60 "
6101456,SUPPLY IMPLANT,Supply/Implant,"$3,801.60 "
6101464,SUPPLY IMPLANT,Supply/Implant,"$3,801.60 "
6101467,SUPPLY IMPLANT,Supply/Implant,"$3,801.60 "
6101495,SUPPLY IMPLANT,Supply/Implant,"$6,048.00 "
6101521,SUPPLY IMPLANT,Supply/Implant,"$7,328.51 "
6101524,SUPPLY IMPLANT,Supply/Implant,"$7,328.51 "
6101526,SUPPLY IMPLANT,Supply/Implant,"$7,328.51 "
6101555,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$241.92 
6101556,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$241.92 
6101561,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$471.04 
6101562,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$471.04 
6101563,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$471.04 
6101564,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$471.04 
6101586,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6101590,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6101598,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6101599,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6101601,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6101604,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6101606,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,150.40 "
6101608,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,876.16 "
6101623,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,876.16 "
6101624,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,965.76 "
6101625,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,876.16 "
6101642,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$409.60 
6101643,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$409.60 
6101652,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$409.60 
6101660,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,016.00 "
6101672,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,523.20 "
6101676,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6101678,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,016.00 "
6101680,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,570.24 "
6101682,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,523.20 "
6101687,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6101692,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,570.24 "
6101693,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,764.80 "
6101695,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,764.80 "
6101697,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,764.80 "
6101699,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6101700,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,764.80 "
6101702,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,764.80 "
6101705,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,523.20 "
6101707,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,523.20 "
6101708,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$583.68 
6101709,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,666.56 "
6101710,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,666.56 "
6101711,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$583.68 
6101712,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,666.56 "
6101713,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,734.08 "
6101714,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,734.08 "
6101715,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,734.08 "
6101716,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,734.08 "
6101717,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,734.08 "
6101718,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,734.08 "
6101719,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,734.08 "
6101721,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$696.32 
6101723,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$696.32 
6101724,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$696.32 
6101727,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,470.59 "
6101729,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$512.00 
6101770,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,920.00 "
6101776,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$12,800.00 "
6101824,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$12,800.00 "
6101841,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$27,520.00 "
6101872,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$27,520.00 "
6101894,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$10,540.80 "
6101895,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$10,540.80 "
6101896,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,216.00 "
6102071,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,765.12 "
6102072,"CATH, DRAINAGE",Supply/Implant,"$7,966.08 "
6102073,SUPPLY IMPLANT,Supply/Implant,"$5,952.00 "
6102080,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,027.52 "
6102081,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,027.52 "
6102082,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,027.52 "
6102088,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,989.12 "
6102093,GENERAL SUPPLY,Supply/Implant,$536.19 
6102095,"CATHETER, GUIDING",Supply/Implant,$443.52 
6102097,MESH (IMPLANTABLE),Supply/Implant,"$8,307.20 "
6102099,"GRAFT, VASCULAR",Supply/Implant,"$57,830.40 "
6102100,"GRAFT, VASCULAR",Supply/Implant,"$115,689.00 "
6102106,SUPPLY IMPLANT,Supply/Implant,"$7,385.60 "
6102110,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$7,052.80 "
6102116,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,007.04 "
6102129,SUPPLY IMPLANT,Supply/Implant,"$9,081.60 "
6102132,GENERAL SUPPLY,Supply/Implant,$479.87 
6102133,GENERAL SUPPLY,Supply/Implant,$466.83 
6102134,GENERAL SUPPLY,Supply/Implant,$670.85 
6102135,GENERAL SUPPLY,Supply/Implant,$708.86 
6102138,"CATHETER, GUIDING",Supply/Implant,$665.60 
6102139,STERILE SUPPLY,Supply/Implant,$182.66 
6102140,SUPPLY IMPLANT,Supply/Implant,"$8,448.00 "
6102141,"RET DEV, INSERTABLE",Supply/Implant,"$4,608.00 "
6102145,"CATH, DRAINAGE",Supply/Implant,"$1,600.00 "
6102152,SUPPLY IMPLANT,Supply/Implant,"$1,241.98 "
6102153,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,944.00 "
6102154,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$23,321.60 "
6102157,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,356.80 "
6102158,SUPPLY IMPLANT,Supply/Implant,$512.00 
6102164,"GRAFT, VASCULAR",Supply/Implant,"$3,316.61 "
6102165,"GRAFT, VASCULAR",Supply/Implant,"$5,725.70 "
6102175,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$11,235.84 "
6102200,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,201.60 "
6102201,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$13,381.76 "
6102217,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$106,816.00 "
6102218,GENERAL SUPPLY,Supply/Implant,"$7,270.40 "
6102221,GENERAL SUPPLY,Supply/Implant,"$11,266.56 "
6102230,SUPPLY IMPLANT,Supply/Implant,$184.58 
6102231,"PROSTHESIS, PENILE, INFLATAB",Supply/Implant,"$54,732.80 "
6102232,"INTRO/SHEATH, NON-LASER",Supply/Implant,"$2,304.00 "
6102233,SUPPLY IMPLANT,Supply/Implant,"$4,940.80 "
6102235,"CATH, BAL DIL, NON-VASCULAR",Supply/Implant,"$5,312.00 "
6102240,SUPPLY IMPLANT,Supply/Implant,$166.40 
6102241,SUPPLY IMPLANT,Supply/Implant,$780.80 
6102242,SUPPLY IMPLANT,Supply/Implant,$220.16 
6102243,SUPPLY IMPLANT,Supply/Implant,$220.16 
6102244,SUPPLY IMPLANT,Supply/Implant,"$1,248.00 "
6102245,SUPPLY IMPLANT,Supply/Implant,"$2,238.59 "
6102247,SUPPLY IMPLANT,Supply/Implant,"$1,410.94 "
6102249,SUPPLY IMPLANT,Supply/Implant,"$1,728.00 "
6102250,SUPPLY IMPLANT,Supply/Implant,"$1,664.00 "
6102251,SUPPLY IMPLANT,Supply/Implant,"$1,216.00 "
6102252,SUPPLY IMPLANT,Supply/Implant,$153.60 
6102253,GUIDE WIRE,Supply/Implant,"$1,968.00 "
6102301,SUPPLY IMPLANT,Supply/Implant,"$1,139.20 "
6102302,"CATHETER, GUIDING",Supply/Implant,$465.92 
6102303,"CATHETER, GUIDING",Supply/Implant,$440.32 
6102304,"CATHETER, GUIDING",Supply/Implant,$440.32 
6102306,"CATHETER, GUIDING",Supply/Implant,$166.40 
6102307,"CATHETER, GUIDING",Supply/Implant,$166.40 
6102314,"CATHETER, URETERAL",Supply/Implant,$210.18 
6102315,"CATHETER, URETERAL",Supply/Implant,$210.18 
6102317,"STENT, COATED/COV W/DEL SYS",Supply/Implant,"$162,750.00 "
6102318,GUIDE WIRE,Supply/Implant,"$1,423.36 "
6102319,SUPPLY IMPLANT,Supply/Implant,"$115,689.00 "
6102320,"CATHETER, GUIDING",Supply/Implant,$473.60 
6102322,"TISSUE MARKER, IMPLANTABLE",Supply/Implant,"$1,728.00 "
6102323,SUPPLY IMPLANT,Supply/Implant,"$8,960.00 "
6102325,POST CHMBR INTRAOCULAR LENS,Supply/Implant,"$2,176.00 "
6102327,POST CHMBR INTRAOCULAR LENS,Supply/Implant,"$2,176.00 "
6102331,STERILE SUPPLY,Supply/Implant,$384.00 
6102334,SUPPLY IMPLANT,Supply/Implant,$480.81 
6102335,"GRAFT, VASCULAR",Supply/Implant,"$115,689.00 "
6102336,"GRAFT, VASCULAR",Supply/Implant,"$25,972.22 "
